classId,label,numberOfOccurences
DB01107,'Methyprylon',15
DB01108,'Trilostane',17
DB01109,'Heparin',65
DB01110,'Miconazole',121
DB01113,'Papaverine',33
DB01114,'Chlorpheniramine',65
DB01115,'Nifedipine',89
DB01116,'Trimethaphan',9
DB01117,'Atovaquone',11
DB01118,'Amiodarone',79
DB01119,'Diazoxide',79
DB01120,'Gliclazide',4
DB01121,'Phenacemide',28
DB01122,'Ambenonium',45
DB01123,'Proflavine',4
DB01124,'Tolbutamide',58
DB01125,'Anisindione',11
DB01126,'Dutasteride',14
DB01128,'Bicalutamide',69
DB01129,'Rabeprazole',36
DB01130,'Prednicarbate',16
DB01131,'Proguanil',18
DB01132,'Pioglitazone',107
DB01133,'Tiludronate',33
DB01135,'Doxacurium chloride',34
DB01136,'Carvedilol',133
DB01137,'Levofloxacin',54
DB01138,'Sulfinpyrazone',47
DB01142,'Doxepin',255
DB01143,'Amifostine',81
DB01144,'Dichlorphenamide',18
DB01146,'Diphenylpyraline',38
DB01148,'Flavoxate',30
DB01149,'Nefazodone',185
DB01151,'Desipramine',159
DB01154,'Thiamylal',77
DB01156,'Bupropion',66
DB01157,'Trimetrexate',18
DB01158,'Bretylium',39
DB01159,'Halothane',86
DB01160,'Dinoprost Tromethamine',53
DB01161,'Chloroprocaine',66
DB01162,'Terazosin',74
DB01165,'Ofloxacin',54
DB01166,'Cilostazol',14
DB01167,'Itraconazole',4
DB01169,'Arsenic trioxide',230
DB01170,'Guanethidine',29
DB01171,'Moclobemide',11
DB01173,'Orphenadrine',96
DB01174,'Phenobarbital',91
DB01175,'Escitalopram',111
DB01176,'Cyclizine',33
DB01177,'Idarubicin',54
DB01178,'Chlormezanone',20
DB01179,'Podofilox',58
DB01180,'Rescinnamine',29
DB01182,'Propafenone',48
DB01183,'Naloxone',97
DB01184,'Domperidone',102
DB01185,'Fluoxymesterone',144
DB01186,'Pergolide',261
DB01189,'Desflurane',155
DB01191,'Dexfenfluramine',70
DB01192,'Oxymorphone',108
DB01193,'Acebutolol',72
DB01194,'Brinzolamide',18
DB01195,'Flecainide',44
DB01196,'Estramustine',74
DB01197,'Captopril',41
DB01198,'Zopiclone',25
DB01199,'Tubocurarine',78
DB01200,'Bromocriptine',293
DB01202,'Levetiracetam',31
DB01203,'Nadolol',72
DB01204,'Mitoxantrone',54
DB01205,'Flumazenil',15
DB01207,'Ridogrel',22
DB01208,'Sparfloxacin',54
DB01209,'Dezocine',108
DB01210,'Levobunolol',72
DB01213,'Fomepizole',43
DB01214,'Metipranolol',72
DB01215,'Estazolam',32
DB01216,'Finasteride',18
DB01217,'Anastrozole',19
DB01218,'Halofantrine',31
DB01219,'Dantrolene',39
DB01220,'Rifaximin',49
DB01221,'Ketamine',125
DB01222,'Budesonide',16
DB01223,'Aminophylline',34
DB01224,'Quetiapine',232
DB01225,'Enoxaparin',42
DB01226,'Mivacurium',54
DB01227,'Levomethadyl Acetate',133
DB01228,'Encainide',44
DB01229,'Paclitaxel',66
DB01231,'Diphenidol',30
DB01233,'Metoclopramide',105
DB01234,'Dexamethasone',131
DB01235,'Levodopa',147
DB01236,'Sevoflurane',155
DB01237,'Bromodiphenhydramine',26
DB01238,'Aripiprazole',306
DB01239,'Chlorprothixene',206
DB01240,'Epoprostenol',67
DB01241,'Gemfibrozil',86
DB01242,'Clomipramine',174
DB01244,'Bepridil',74
DB01245,'Decamethonium',71
DB01246,'Trimeprazine',26
DB01247,'Isocarboxazid',12
DB01248,'Docetaxel',4
DB01250,'Olsalazine',13
DB01251,'Gliquidone',58
DB01252,'Mitiglinide',145
DB01253,'Ergonovine',50
DB01254,'Dasatinib',126
DB01255,'Lisdexamfetamine',38
DB01257,'Eculizumab',53
DB01258,'Aliskiren',16
DB01259,'Lapatinib',120
DB01260,'Desonide',16
DB01261,'Sitagliptin',34
DB01262,'Decitabine',58
DB01267,'Paliperidone',266
DB01268,'Sunitinib',134
DB01269,'Panitumumab',103
DB01270,'Ranibizumab',4
DB01271,'Idursulfase',4
DB01272,'Alglucosidase alfa',4
DB01273,'Varenicline',66
DB01274,'Arformoterol',64
DB01275,'Hydralazine',42
DB01276,'Exenatide',29
DB01277,'Mecasermin',70
DB01278,'Pramlintide',77
DB01279,'Galsulfase',4
DB01280,'Nelarabine',30
DB01281,'Abatacept',62
DB01282,'Carbetocin',15
DB01283,'Lumiracoxib',60
DB01284,'Cosyntropin',38
DB01285,'Corticotropin',62
DB01287,'Dihydroergotoxine',223
DB01288,'Fenoterol',73
DB01289,'Glisoxepide',58
DB01291,'Pirbuterol',72
DB01294,'Bismuth Subsalicylate',60
DB01295,'Bevantolol',90
DB01296,'Glucosamine',42
DB01297,'Practolol',44
DB01303,'Oxtriphylline',36
DB01306,'Insulin Aspart',116
DB01307,'Insulin Detemir',116
DB01309,'Insulin Glulisine',116
DB01320,'Fosphenytoin',44
DB01324,'Polythiazide',24
DB01325,'Quinethazone',36
DB01327,'Cefazolin',42
DB01336,'Metocurine',34
DB01337,'Pancuronium',43
DB01338,'Pipecuronium',43
DB01339,'Vecuronium',31
DB01340,'Cilazapril',29
DB01342,'Forasartan',45
DB01346,'Quinidine barbiturate',72
DB01347,'Saprisartan',45
DB01348,'Spirapril',29
DB01349,'Tasosartan',74
DB01351,'Amobarbital',89
DB01352,'Aprobarbital',89
DB01353,'Butethal',89
DB01354,'Heptabarbital',89
DB01355,'Hexobarbital',89
DB01356,'Lithium',118
DB01357,'Mestranol',68
DB01359,'Penbutolol',72
DB01363,'Ephedra',186
DB01364,'Ephedrine',29
DB01365,'Mephentermine',50
DB01366,'Procaterol',64
DB01367,'Rasagiline',73
DB01370,'Aluminium',4
DB01375,'Dihydroxyaluminium',40
DB01380,'Cortisone acetate',16
DB01381,'Ginkgo biloba',97
DB01382,'Glycodiazine',43
DB01384,'Paramethasone',16
DB01388,'Mibefradil',50
DB01392,'Yohimbine',196
DB01393,'Bezafibrate',131
DB01394,'Colchicine',12
DB01395,'Drospirenone',83
DB01396,'Digitoxin',39
DB01397,'Magnesium salicylate',60
DB01398,'Salicylate-sodium',60
DB01399,'Salsalate',60
DB01400,'Neostigmine',45
DB01401,'Trisalicylate-choline',60
DB01403,'Methotrimeprazine',232
DB01404,'Ginseng',167
DB01406,'Danazol',151
DB01407,'Clenbuterol',87
DB01408,'Bambuterol',64
DB01409,'Tiotropium',30
DB01410,'Ciclesonide',16
DB01411,'Pranlukast',35
DB01412,'Theobromine',35
DB01418,'Acenocoumarol',4
DB01419,'Antrafenine',60
DB01420,'Testosterone Propionate',69
DB01422,'Nitroxoline',14
DB01425,'Alizapride',83
DB01426,'Ajmaline',44
DB01427,'Amrinone',167
DB01429,'Aprindine',76
DB01430,'Almitrine',4
DB01431,'Allylestrenol',69
DB01433,'Methadyl Acetate',95
DB01435,'Antipyrine',60
DB01436,'Alfacalcidol',69
DB01437,'Glutethimide',15
DB01438,'Phenazopyridine',28
DB01440,'Gamma Hydroxybutyric Acid',13
DB01463,'Fencamfamine',18
DB01466,'Ethylmorphine',95
DB01544,'Flunitrazepam',21
DB01558,'Bromazepam',33
DB01559,'Clotiazepam',32
DB01567,'Fludiazepam',32
DB01576,'Dextroamphetamine',63
DB01577,'Methamphetamine',163
DB01579,'Phendimetrazine',74
DB01580,'Oxprenolol',72
DB01583,'Liotrix',53
DB01586,'Ursodeoxycholic acid',51
DB01587,'Ketazolam',24
DB01588,'Prazepam',32
DB01589,'Quazepam',32
DB01590,'Everolimus',70
DB01591,'Solifenacin',30
DB01594,'Cinolazepam',32
DB01595,'Nitrazepam',33
DB01597,'Cilastatin',49
DB01599,'Probucol',81
DB01600,'Tiaprofenic acid',60
DB01608,'Propericiazine',146
DB01611,'Hydroxychloroquine',93
DB01612,'Amyl Nitrite',33
DB01613,'Erythrityl Tetranitrate',33
DB01614,'Acepromazine',156
DB01615,'Aceprometazine',26
DB01616,'Alverine',17
DB01618,'Molindone',101
DB01619,'Phenindamine',26
DB01620,'Pheniramine',26
DB01621,'Pipotiazine',137
DB01622,'Thioproperazine',156
DB01623,'Thiothixene',137
DB01624,'Zuclopenthixol',206
DB01625,'Isopropamide',25
DB01626,'Pargyline',12
DB01628,'Etoricoxib',60
DB01708,'Dehydroepiandrosterone',4
DB01892,'Hyperforin',21
DB02300,'Calcipotriol',69
DB02546,'Vorinostat',147
DB02638,'Terlipressin',45
DB04552,'Niflumic Acid',129
DB04573,'Estriol',90
DB04574,'Estropipate',90
DB04575,'Quinestrol',68
DB04576,'Fleroxacin',54
DB04743,'Nimesulide',60
DB04786,'Suramin',163
DB04794,'Bifonazole',4
DB04817,'Dipyrone',4
DB04820,'Nialamide',4
DB04821,'Nomifensine',4
DB04824,'Phenolphthalein',4
DB04825,'Prenylamine',4
DB04828,'Zomepirac',4
DB04832,'Zimelidine',12
DB04835,'Maraviroc',38
DB04836,'Amineptine',4
DB04837,'Chlophedianol',26
DB04838,'Cyclandelate',28
DB04839,'Cyproterone',69
DB04840,'Debrisoquin',29
DB04841,'Flunarizine',58
DB04842,'Fluspirilene',123
DB04843,'Mepenzolate',30
DB04844,'Tetrabenazine',12
DB04845,'Ixabepilone',4
DB04861,'Nebivolol',72
DB04868,'Nilotinib',114
DB04876,'Vildagliptin',34
DB04877,'Voacamine',42
DB04878,'Voglibose',12
DB04880,'Enoximone',14
DB04890,'Bepotastine',26
DB04894,'Vapreotide',38
DB04895,'Pegaptanib',4
DB04896,'Milnacipran',44
DB04898,'Ximelagatran',80
DB04899,'Nesiritide',4
DB04930,'Permethrin',28
DB04932,'Defibrotide',4
DB04942,'Tamibarotene',112
DB04948,'Lofexidine',115
DB04967,'Lucanthone',96
DB05039,'Indacaterol',64
DB05246,'Methsuximide',32
DB05259,'Glatiramer Acetate',4
DB05260,'Gallium nitrate',181
DB05265,'Ecabet',14
DB05266,'Ibudilast',36
DB05271,'Rotigotine',147
DB05630,'Sodium stibogluconate',17
DB05829,'Preotact',31
DB06144,'Sertindole',125
DB06148,'Mianserin',174
DB06155,'Rimonabant',13
DB06168,'Canakinumab',4
DB06196,'Icatibant',39
DB06209,'Prasugrel',10
DB06228,'Rivaroxaban',30
DB06262,'Droxidopa',165
DB06267,'Udenafil',32
DB06268,'Sitaxentan',76
DB06271,'Sulodexide',17
DB06274,'Alvimopan',97
DB06285,'Teriparatide',4
DB06287,'Temsirolimus',70
DB06288,'Amisulpride',120
DB06335,'Saxagliptin',34
DB06439,'Tyloxapol',32
DB06594,'Agomelatine',4
DB06655,'Liraglutide',29
DB06684,'Vilazodone',4
DB06691,'Mepyramine',26
DB06692,'Aprotinin',4
DB06694,'Xylometazoline',137
DB06695,'Dabigatran etexilate',80
DB06698,'Betahistine',35
DB06699,'Degarelix',14
DB06700,'Desvenlafaxine',44
DB06701,'Dexmethylphenidate',45
DB06702,'Fesoterodine',30
DB06706,'Isometheptene',57
DB06707,'Levonordefrin',74
DB06709,'Methacholine',25
DB06710,'Methyltestosterone',69
DB06711,'Naphazoline',133
DB06712,'Nilvadipine',42
DB06713,'Norelgestromin',69
DB06714,'Propylhexedrine',19
DB06716,'Fospropofol',36
DB06717,'Fosaprepitant',19
DB06719,'Buserelin',4
DB06725,'Lornoxicam',60
DB06751,'Drotaverine',43
DB06766,'Alcaftadine',26
DB06772,'Cabazitaxel',4
DB06777,'Chenodeoxycholic acid',4
DB06779,'Dalteparin',165
DB06781,'Difluprednate',16
DB06802,'Nepafenac',60
DB06809,'Plerixafor',49
DB06822,'Tinzaparin',20
DB08799,'Antazoline',26
DB08800,'Chloropyramine',26
DB08801,'Dimethindene',29
DB08802,'Isothipendyl',26
DB08804,'Nandrolone decanoate',69
DB08806,'Roxatidine acetate',14
DB08807,'Bopindolol',72
DB08808,'Bupranolol',73
DB08810,'Cinitapride',45
DB08811,'Tofisopam',92
DB08813,'Nadroparin',77
DB08814,'Triflusal',152
DB08816,'Ticagrelor',10
DB08818,'Hyaluronan',4
DB08819,'Tafluprost',4
DB08820,'Ivacaftor',69
